time,latitude,longitude,adt,ice_extent,ice_missing
15706.0,24.20580291748047,-88.7514419555664,0.3051914977670903,14.035,0.0
15707.0,24.20580291748047,-88.7514419555664,0.3073321023703195,14.141,0.0
15708.0,24.20580291748047,-88.7514419555664,0.3097939711439368,14.25,0.0
15709.0,24.20580291748047,-88.7514419555664,0.3122133287530058,14.255,0.0
15710.0,24.20580291748047,-88.7514419555664,0.3142487031947784,14.266,0.0
15711.0,24.20580291748047,-88.7514419555664,0.3156140759189282,14.22,0.0
15712.0,24.20580291748047,-88.7514419555664,0.316211473720371,14.348,0.0
15713.0,24.20580291748047,-88.7514419555664,0.3160851253864651,14.434,0.0
15714.0,24.20580291748047,-88.7514419555664,0.3153976897973204,14.493,0.0
15715.0,24.20580291748047,-88.7514419555664,0.3143745448299554,14.507,0.0
15716.0,24.20580291748047,-88.7514419555664,0.3132512281003092,14.523,0.0
15717.0,24.20580291748047,-88.7514419555664,0.3121916523531432,14.593,0.0
15718.0,24.20580291748047,-88.7514419555664,0.3112701906561319,14.623,0.0
15719.0,24.20580291748047,-88.7514419555664,0.3105459721745105,14.765,0.0
15720.0,24.20580291748047,-88.7514419555664,0.3100837512882171,14.899,0.0
15721.0,24.20580291748047,-88.7514419555664,0.3099727585022329,14.985,0.0
15722.0,24.20580291748047,-88.7514419555664,0.3103021813809687,15.109,0.0
15723.0,24.20580291748047,-88.7514419555664,0.3111785554792167,15.138,0.0
15724.0,24.20580291748047,-88.7514419555664,0.3126551872208863,15.154,0.0
15725.0,24.20580291748047,-88.7514419555664,0.3146733940226726,15.206,0.0
15726.0,24.20580291748047,-88.7514419555664,0.3169738148402611,15.175,0.0
15727.0,24.20580291748047,-88.7514419555664,0.3191989522500859,15.324,0.0
15728.0,24.20580291748047,-88.7514419555664,0.3209499312950876,15.31,0.0
15729.0,24.20580291748047,-88.7514419555664,0.3218612074888354,15.394,0.0
15730.0,24.20580291748047,-88.7514419555664,0.3216947440742013,15.447,0.0
15731.0,24.20580291748047,-88.7514419555664,0.3204411885949846,15.515,0.0
15732.0,24.20580291748047,-88.7514419555664,0.3183009017519753,15.551,0.0
15733.0,24.20580291748047,-88.7514419555664,0.3156587169357609,15.601,0.0
15734.0,24.20580291748047,-88.7514419555664,0.3129871521813809,15.548,0.0
15735.0,24.20580291748047,-88.7514419555664,0.3107230333218825,15.507,0.0
15736.0,24.20580291748047,-88.7514419555664,0.3091462555822741,15.462,0.0
15737.0,24.20580291748047,-88.7514419555664,0.3082813637925112,15.449,0.0
15738.0,24.20580291748047,-88.7514419555664,0.3079396684987976,15.475,0.0
15739.0,24.20580291748047,-88.7514419555664,0.3077435932669186,15.555,0.0
15740.0,24.20580291748047,-88.7514419555664,0.3072633888698042,15.51,0.0
15741.0,24.20580291748047,-88.7514419555664,0.3061493988320165,15.52,0.0
15742.0,24.20580291748047,-88.7514419555664,0.3042510477499141,15.525,0.0
15743.0,24.20580291748047,-88.7514419555664,0.3016136207488836,15.65,0.0
15744.0,24.20580291748047,-88.7514419555664,0.298467476812092,15.707,0.0
15745.0,24.20580291748047,-88.7514419555664,0.2951947097217451,15.778,0.0
15746.0,24.20580291748047,-88.7514419555664,0.2922467193404329,15.933,0.0
15747.0,24.20580291748047,-88.7514419555664,0.2900110958433528,15.796,0.0
15748.0,24.20580291748047,-88.7514419555664,0.2887081587083476,15.726,0.0
15749.0,24.20580291748047,-88.7514419555664,0.2884136636894538,15.744,0.0
15750.0,24.20580291748047,-88.7514419555664,0.2890193833734112,15.634,0.0
15751.0,24.20580291748047,-88.7514419555664,0.2902800927516317,15.652,0.0
15752.0,24.20580291748047,-88.7514419555664,0.2918616798351082,15.637,0.0
15753.0,24.20580291748047,-88.7514419555664,0.2933611130195809,15.763,0.0
15754.0,24.20580291748047,-88.7514419555664,0.29442807454483,15.82,0.0
